date,code,name,volume,open,high,low,close,source_asset,cumulative_factor,adj_open,adj_high,adj_low,adj_close,adj_qa
20181112,4916,事欣科,128101,28.40,29.50,28.40,29.15,yearly_2018.zip,0.8024337148,22.789118,23.671795,22.789118,23.390943,OK
20181113,4916,事欣科,1383101,29.70,30.40,29.45,30.00,yearly_2018.zip,0.8024337148,23.832281,24.393985,23.631673,24.073011,OK
20181114,4916,事欣科,456000,30.05,30.25,29.55,29.65,yearly_2018.zip,0.8024337148,24.113133,24.273620,23.711916,23.792160,OK
20181115,4916,事欣科,238100,30.10,30.10,29.70,29.85,yearly_2018.zip,0.8024337148,24.153255,24.153255,23.832281,23.952646,OK
20181116,4916,事欣科,312002,30.00,30.05,29.40,29.45,yearly_2018.zip,0.8024337148,24.073011,24.113133,23.591551,23.631673,OK
20181119,4916,事欣科,160303,29.50,29.90,29.50,29.90,yearly_2018.zip,0.8024337148,23.671795,23.992768,23.671795,23.992768,OK
20181120,4916,事欣科,149100,29.90,30.05,29.60,29.75,yearly_2018.zip,0.8024337148,23.992768,24.113133,23.752038,23.872403,OK
20181121,4916,事欣科,182100,29.75,30.30,29.50,29.70,yearly_2018.zip,0.8024337148,23.872403,24.313742,23.671795,23.832281,OK
20181122,4916,事欣科,262500,29.95,30.20,29.40,29.50,yearly_2018.zip,0.8024337148,24.032890,24.233498,23.591551,23.671795,OK
20181123,4916,事欣科,182500,29.40,29.50,29.05,29.50,yearly_2018.zip,0.8024337148,23.591551,23.671795,23.310699,23.671795,OK
20181126,4916,事欣科,89500,29.55,29.85,29.55,29.55,yearly_2018.zip,0.8024337148,23.711916,23.952646,23.711916,23.711916,OK
20181127,4916,事欣科,235900,29.90,30.25,29.85,30.00,yearly_2018.zip,0.8024337148,23.992768,24.273620,23.952646,24.073011,OK
